Name,Team,Attack Points,Attack Errors,Attack Attempts,Block Points,Block Errors,Rebounds,Serve Points,Serve Errors,Serve Attempts,Successful Sets,Set Errors,Set Attempts,Spike Digs,Dig Errors,Successful Receives,Receive Errors,Receive Attempts
Graven,GER,0,0,0,0,0,0,0,0,0,0,0,50,58,30,58,8,103
Greves,CAN,0,0,1,0,1,0,0,2,14,0,0,0,0,1,0,0,0
Grozdanov,BUL,14,7,13,13,16,20,2,5,36,1,0,6,3,1,0,1,2
Gueye,FRA,44,9,28,12,31,28,2,17,97,0,0,6,9,7,1,0,10
Gulmezoglu,TUR,28,17,44,4,10,6,3,13,54,0,1,19,14,14,15,5,91
Gürbüz,TUR,37,15,23,1,11,5,1,6,28,1,1,6,16,7,0,1,0
Gyimah,CAN,21,5,10,10,22,21,3,14,30,1,1,6,11,3,4,0,10
Haghparast,IRI,17,10,12,1,7,2,2,5,19,0,0,2,9,1,6,6,24
Hatipoğlu,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawryluk,POL,0,0,0,0,0,0,0,0,0,0,0,9,6,4,4,1,12
Hazrat,IRI,0,0,0,0,0,0,0,0,0,0,0,30,36,11,37,6,71
Henno,FRA,18,5,7,0,5,2,2,5,10,0,0,3,7,1,13,1,24
Herr,CAN,2,0,5,1,5,5,2,5,34,103,1,193,6,5,0,0,0
Heslinga,CAN,24,7,20,1,9,4,3,6,25,0,0,7,4,3,11,2,15
Hilmi,TUR,0,0,0,0,1,0,1,0,1,1,0,14,3,1,0,0,0
Hobus,USA,45,18,38,5,7,10,0,12,28,1,0,8,13,5,0,0,1
Hofer,CAN,97,27,62,5,17,26,7,17,64,1,0,19,30,16,40,14,121
Holdaway,USA,3,1,3,2,2,2,1,2,9,0,0,0,2,1,0,0,0
Honorato,BRA,76,23,53,11,19,15,8,15,100,2,0,28,18,26,30,4,124
Huetz,FRA,43,13,24,26,29,40,5,28,48,1,1,4,12,1,5,0,7
Isaacson,USA,1,0,0,1,3,4,1,2,43,68,1,159,7,6,0,0,2
Ivović,SRB,66,38,57,10,23,12,4,22,76,2,1,36,23,12,42,15,111
J. Elser,CAN,0,0,0,0,0,0,0,1,12,0,0,0,0,4,0,0,0
J. Gutierrez,CUB,39,14,25,2,8,10,1,7,35,0,0,11,14,7,19,4,65
Jakubiszak,POL,29,9,15,10,26,27,1,6,78,1,0,4,7,5,3,1,2
Javad,IRI,1,1,1,4,8,8,1,6,33,77,2,178,19,7,0,0,0
Jendryk,USA,24,6,12,6,14,15,1,4,50,0,0,11,9,4,0,0,4
Ji D.S.,CHN,38,14,48,4,7,6,2,14,40,4,1,10,9,6,23,5,52
Jiang C.,CHN,53,21,32,3,10,13,4,13,45,1,0,9,10,7,0,1,1
John,GER,133,43,104,5,17,36,15,28,78,0,0,12,38,14,4,1,5
Jovović,SRB,2,1,2,2,3,7,1,2,25,58,1,98,7,6,0,0,2
Judson,BRA,60,3,28,16,44,39,7,21,79,0,1,8,19,7,2,0,11
Kai,JPN,45,18,39,2,6,10,9,23,35,2,0,6,15,9,18,3,54
Karyagin,BUL,1,1,4,0,1,1,0,1,1,0,0,0,1,0,0,0,0
Keemink,NED,8,1,5,3,11,13,1,5,70,126,1,257,18,14,0,0,1
Keihan,JPN,13,6,7,1,1,3,0,3,8,0,0,1,3,4,0,0,0
Kirkit,TUR,1,2,4,0,1,0,0,0,2,0,0,1,1,0,0,1,3
Kisiliuk,UKR,2,1,2,0,1,0,0,1,2,0,0,1,1,0,2,0,8
Klok,NED,0,0,0,0,0,0,0,0,0,1,1,43,51,31,46,11,121
Knigge,USA,16,5,16,11,20,15,3,14,35,0,0,4,4,2,1,0,6
Kokeza,SRB,1,1,1,0,5,1,0,1,2,0,0,0,1,0,1,0,0
Komenda,POL,1,1,2,3,10,11,1,0,55,116,0,234,10,21,0,0,0
Koops,NED,82,23,95,4,19,12,7,29,72,3,0,33,59,18,81,11,149
Korenblek,NED,5,1,3,2,3,4,0,5,1,0,0,2,0,0,1,0,2
Korreck,GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kovačič,SLO,0,0,0,0,0,0,0,0,0,3,1,43,61,25,40,14,88
Koval,UKR,10,1,8,3,15,16,1,14,26,1,0,0,4,1,0,0,2
Kovalov,UKR,99,30,87,18,18,19,7,20,77,0,0,40,27,14,41,12,129
Kozamernik,SLO,32,7,24,16,23,29,8,9,84,0,0,8,13,3,5,0,2
Kozub,POL,0,0,0,0,0,0,0,0,1,12,0,24,1,3,0,0,0
Krage,GER,2,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0
Kržič,SLO,10,2,5,4,15,13,1,7,36,0,0,2,1,4,1,0,1
Kukartsev,ARG,46,13,41,5,8,13,0,8,36,0,0,5,16,8,0,0,2
Kulpinac,SRB,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Kunstmann,GER,12,6,11,2,4,8,1,6,24,0,0,0,5,2,0,0,1
L. Bergmann,BRA,65,22,73,4,17,15,5,16,81,1,0,20,18,16,31,12,128
Larry,JPN,25,4,12,8,22,14,1,4,51,0,1,5,17,3,0,0,5
Laurenzano,ITA,0,0,0,0,0,0,0,0,0,1,0,29,31,19,13,4,59
Lavia,ITA,29,10,36,4,9,9,3,5,37,0,0,17,7,6,13,2,33
Li T. Y.,CHN,0,0,0,0,0,0,0,0,0,0,0,9,7,7,3,3,20
Li Y.Z.,CHN,25,5,15,23,26,25,4,11,56,0,0,7,3,0,0,0,3
Lipke,NED,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Lopez,CUB,56,18,38,4,11,10,3,14,54,4,0,14,19,9,29,7,58
Loser Bruno,ARG,55,8,29,22,33,41,3,22,98,0,0,8,14,11,0,1,4
Louati,FRA,1,1,1,0,1,0,1,3,7,0,0,2,2,0,1,1,10
Luburić,SRB,97,43,84,4,10,22,7,28,67,1,0,17,21,11,0,2,1
Luengas,ARG,27,11,18,3,7,7,4,10,23,1,0,7,15,7,8,3,44
Lui,CAN,0,0,0,0,0,0,0,0,0,1,0,8,8,16,5,0,8
M. Lagumdzija,TUR,24,14,26,2,11,4,4,7,22,2,0,8,13,1,3,3,24
Ma'a,USA,5,2,2,1,4,18,3,6,44,80,0,168,2,11,0,0,1
Maase,GER,60,7,28,11,28,29,0,13,97,1,0,6,14,7,3,3,16
Maciel,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnin,FRA,4,0,4,2,1,7,2,4,10,0,0,0,5,1,0,0,1
Maicon,BRA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maique,BRA,0,0,0,0,0,0,0,0,0,4,0,60,64,41,42,10,95
Mandıracı,TUR,88,27,67,10,16,18,13,19,60,1,1,24,23,15,17,4,82
Marovt,SLO,12,11,17,0,4,2,1,6,11,0,1,4,3,0,4,3,33
Martinez Franchi,ARG,0,0,0,0,0,0,0,0,0,0,1,30,69,22,31,10,98
Martinez Gion,NED,12,4,14,2,7,3,0,2,14,1,0,0,6,5,8,1,19
Masso,CUB,98,35,78,16,30,22,9,39,59,3,0,23,33,14,0,0,7
Mašulović N.,SRB,32,8,15,13,22,27,0,11,61,3,1,8,7,2,1,1,7
Mašulović V.,SRB,78,29,64,7,22,15,3,24,70,0,0,19,22,18,44,20,149
Matheus,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus G.,BRA,0,0,0,1,0,0,0,1,1,14,0,44,3,3,0,0,0
Matić,TUR,13,3,7,4,16,12,1,4,29,0,0,5,2,2,1,0,1
Matin,IRI,9,3,3,0,14,11,0,6,9,0,0,0,2,0,0,0,2
McCarthy,CAN,44,12,24,22,34,36,6,33,79,0,0,13,18,7,6,0,18
McHenry,USA,22,1,15,14,13,17,1,5,44,0,1,5,12,5,0,1,3
Meier,GER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Meijs,NED,31,10,19,1,3,3,2,13,23,0,0,2,6,6,0,0,0
Mergarejo,CUB,4,3,5,1,2,1,3,2,48,1,1,3,1,3,0,2,5
Miao R.T.,CHN,4,1,3,1,5,3,0,0,10,0,0,1,0,0,0,0,1
Michieletto,ITA,50,14,40,3,6,5,12,11,55,1,0,18,19,10,23,3,84
Milanović,SRB,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0
Miwa,JPN,7,1,7,1,7,5,0,1,19,0,0,1,3,3,0,2,1
Miyaura,JPN,101,32,68,5,14,17,11,20,60,1,1,13,25,13,0,0,4
Mohammad,IRI,41,10,13,8,30,22,3,5,90,0,0,8,15,6,3,2,4
Mohwinkel,GER,46,17,34,2,8,8,2,12,37,0,0,31,20,8,24,2,78
Morteza,IRI,56,19,40,4,11,10,7,20,50,0,0,10,18,7,23,6,91
Možič,SLO,81,29,73,11,11,12,5,25,43,1,0,23,25,4,33,9,106
Mujanović,SLO,68,20,45,6,15,17,6,14,33,0,0,4,20,9,0,0,4
Murayama,JPN,12,2,6,5,10,5,3,5,27,0,0,1,4,1,0,0,4
Nachev,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najdič,SLO,1,0,1,2,9,13,2,14,42,106,2,268,18,4,0,0,1
Nalozhnyi,UKR,0,0,0,0,0,0,0,2,14,0,0,0,0,2,0,1,4
Nasevich,POL,9,4,10,1,4,9,2,8,7,0,0,2,6,3,1,0,1
Nedeljković,SRB,41,5,17,22,48,31,1,10,55,0,0,5,7,6,6,0,8
Negic,SRB,0,0,0,0,0,0,0,0,0,0,0,7,9,3,1,0,1
Nikolić,SRB,10,1,3,1,1,2,1,9,14,0,0,0,1,3,0,0,0
Nikolov A.,BUL,114,31,85,8,20,17,10,29,66,5,1,24,39,12,26,14,134
Nikolov S.,BUL,23,3,23,8,17,22,11,28,54,135,0,344,25,12,0,0,1
Nishimoto,JPN,11,1,3,2,11,6,0,3,20,0,0,3,2,1,0,0,0
Nishiyama,JPN,9,6,10,1,6,0,2,4,8,2,0,2,1,2,1,0,0
Nowak J.,POL,37,3,12,17,20,26,1,13,49,1,0,5,7,8,1,0,3
Ogawa,JPN,0,0,0,0,0,0,0,0,0,1,0,60,56,11,37,5,62
Okroglič,SLO,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,6
Otsuka,JPN,72,16,51,2,6,10,2,9,59,0,1,21,15,11,26,3,84
Oya,JPN,2,0,4,0,7,17,1,6,65,167,3,262,23,17,0,0,1
Pace,ITA,0,0,0,0,0,0,0,0,0,0,1,10,7,1,9,0,18
Palev,BUL,0,0,1,2,4,10,1,4,39,42,1,89,8,2,0,0,2
Palonsky,ARG,103,18,112,8,23,15,8,30,86,3,0,29,34,9,31,11,116
Pampushko,UKR,0,0,0,0,0,0,0,0,0,1,0,3,10,0,2,0,4
Parkinson,NED,3,2,7,3,2,6,0,0,9,0,0,0,3,1,1,0,1
Pasteur,USA,22,7,8,0,2,4,1,5,18,1,0,3,2,4,2,6,39
Patry,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peng S.K.,CHN,9,2,9,5,10,8,1,1,23,0,0,1,2,2,1,1,0
Perić,SRB,4,1,1,2,4,3,0,1,7,0,0,2,0,0,3,0,9
Peter,GER,17,7,22,1,7,8,2,12,25,1,0,9,10,5,10,3,39
Petkov I.,BUL,31,8,21,11,14,16,5,21,72,1,0,6,6,1,0,0,2
Petkov P.,BUL,8,1,8,10,23,28,1,4,40,0,1,4,5,1,0,0,2
Plak,NED,1,3,0,1,7,4,2,5,9,0,0,2,1,1,0,0,1
Planinšič,SLO,1,0,2,0,3,13,2,5,35,69,0,133,5,8,0,0,1
Poluian,UKR,15,5,13,3,0,1,1,3,8,0,0,2,2,0,4,4,19
Poręba,POL,23,4,10,14,19,22,2,5,48,0,1,6,9,9,0,1,2
Poriya,IRI,76,34,54,5,16,9,15,34,72,0,0,12,23,12,33,3,78
Porro L.,ITA,54,9,38,10,13,9,6,18,44,2,0,14,23,14,26,7,64
Pothron,FRA,59,14,50,2,12,11,2,17,46,2,1,13,37,7,49,11,109
Qu Z.S.,CHN,0,0,0,0,0,0,0,0,0,3,2,31,50,40,41,6,97
Ramon,FRA,0,0,0,0,0,0,0,0,8,0,0,6,21,3,6,0,8
